artes,Stephen Burke e Wasted Rita,Everyday disquiet,26 outubro,23 dezembro 2023,Ainori Contemporary Art Gallery,https://www.agendalx.pt/events/event/stephen-burke-e-wasted-rita/
artes,Paint in the Dark,Sessões especiais de Halloween,26 outubro,28 outubro 2023,Rive Rouge,https://www.agendalx.pt/events/event/paint-in-the-dark-2/
artes,Tony Cragg,Rare earth,26,26 de October de 2023,Museu Nacional de Arte Contemporânea do Chiado,https://www.agendalx.pt/events/event/tony-cragg-2/
artes,Arte no Feminino,Homenagem às autoras de tapeçarias de Portalegre,3 outubro,30 novembro 2023,Galeria Tapeçarias de Portalegre,https://www.agendalx.pt/events/event/arte-no-feminino/
artes,Gil Vicente. Portugal e Espanha nos Primórdios do Teatro Europeu,,26,26 de October de 2023,Museu Nacional do Teatro e da Dança,https://www.agendalx.pt/events/event/gil-vicente-portugal-e-espanha-nos-primordios-do-teatro-europeu/
artes,A Cidade em Diálogo: Reflexos de Lisboa e o Programa de Arte Pública Underdogs,,26,26 de October de 2023,Livraria Ler Devagar,https://www.agendalx.pt/events/event/a-cidade-em-dialogo/
teatro,Paródia Nacional,Uma nova Revista à portuguesa,14 setembro,30 dezembro 2023,Teatro Maria Vitória,https://www.agendalx.pt/events/event/parodia-nacional/
artes,Luís Afonso,Ora -  faço gravuras…,26,26 de October de 2023,Museu Bordalo Pinheiro,https://www.agendalx.pt/events/event/luis-afonso/
artes,Natureza Viva: Paisagem e Sustentabilidade,,5 junho 2023,28 janeiro 2024,Edifício dos Leões - Espaço Santander,https://www.agendalx.pt/events/event/natureza-viva-paisagem-e-sustentabilidade/
dança,Txabeta,Djam Neguin,26 outubro 2023,26 outubro 2023,Forum Dança,https://www.agendalx.pt/events/event/txabeta/
dança,Las Lámparas,Leticia Skrycky,26 outubro,28 outubro 2023,Teatro do Bairro Alto,https://www.agendalx.pt/events/event/las-lamparas/
teatro,2:22 Uma história de fantasmas,D. Robins/ M. Simeão,14 setembro,30 dezembro 2023,Teatro Villaret,https://www.agendalx.pt/events/event/222-uma-historia-de-fantasmas/
música,Marco Rodrigues,Há Fado no Cais,26 outubro 2023,26 outubro 2023,Centro Cultural de Belém,https://www.agendalx.pt/events/event/marco-rodrigues-2/
teatro,O regresso de Ricardo III no comboio das 9h24,,26 outubro,30 dezembro 2023,Teatro Maria Matos,https://www.agendalx.pt/events/event/o-regresso-de-ricardo-iii-no-comboio-das-9h24/
música,Surma,Em formato trio,26 outubro 2023,26 outubro 2023,Lounge,https://www.agendalx.pt/events/event/surma-4/
teatro,Um nó apertado,Escola de Mulheres,25,25 de October de 2023,Clube Estefânia,https://www.agendalx.pt/events/event/um-no-apertado/
dança,Solo,Luz da Camara,26 outubro 2023,26 outubro 2023,Teatro do Bairro,https://www.agendalx.pt/events/event/solo-2/
teatro,Tarântula,Companhia da Chaminé,26 outubro,28 outubro 2023,Centro Cultural Franciscano,https://www.agendalx.pt/events/event/tarantula/
música,Kumpania Algazarra,Histórias e Raízes,26 outubro 2023,26 outubro 2023,B.Leza,https://www.agendalx.pt/events/event/kumpania-algazarra-2/
música,Fado no Jardim,na casa de Amália,20 maio,28 outubro 2023,Casa-Museu Amália Rodrigues,https://www.agendalx.pt/events/event/fado-na-casa-museu-amalia-rodrigues/
música,Vaiapraia,10 anos,27 outubro 2023,27 outubro 2023,DAMAS,https://www.agendalx.pt/events/event/vaiapraia-2/
cinema,Morte e Vida,"Viver" + "Dead Man",27 outubro,28 outubro 2023,Prosa - Plataforma Cultural,https://www.agendalx.pt/events/event/morte-e-vida/
artes,Rami Mogabgab,Oth.er.world.ly,27 outubro,9 novembro 2023,N/A,https://www.agendalx.pt/events/event/rami-mogabgab/
cinema,'Reino Animal' de Thomas Cailley,Sessão especial,27,27 de October de 2023,Cinema Fernando Lopes,https://www.agendalx.pt/events/event/reino-animal-de-thomas-cailley/
ciências -  cinema -  dança,Celebração do Dia Mundial do Património Audiovisual,,27,27 de October de 2023,Arquivo Municipal de Lisboa - Videoteca,https://www.agendalx.pt/events/event/dia-mundial-do-patrimonio-audiovisual-2/
ciências -  cinema -  dança,Celebração do Dia Mundial do Património Audiovisual,,27,27 de October de 2023,Arquivo Municipal de Lisboa - Videoteca,https://www.agendalx.pt/events/event/dia-mundial-do-patrimonio-audiovisual-2/
artes,Vieira Rodrigues,,27,27 de October de 2023,Galeria Novo Ângulo,https://www.agendalx.pt/events/event/vieira-rodrigues/
dança,Don Latino,Patrícia Carreira,1 outubro,29 outubro 2023,N/A,https://www.agendalx.pt/events/event/don-latino/
teatro,Shadowlands,William Nicholson,27,27 de October de 2023,Auditório Santa Joana,https://www.agendalx.pt/events/event/shadowlands/
teatro,De Mary para Mary,Maria do Céu Guerra e Rita Lello,27,27 de October de 2023,Centro Cultural de Belém,https://www.agendalx.pt/events/event/de-mary-para-mary/
cinema,'Spellbound' de A.Hitchcock,Dia do Património Audiovisual,27 outubro 2023,27 outubro 2023,Cinemateca Portuguesa - Museu do Cinema,https://www.agendalx.pt/events/event/dia-mundial-do-patrimonio-audiovisual/
teatro,O Despertar da Teatral’idade,,27 outubro 2023,27 outubro 2023,Avenidas - Um Teatro em Cada Bairro,https://www.agendalx.pt/events/event/o-despertar-da-teatralidade-2/
música,Rui Veloso,com Alexandre Manaia e Eduardo Espinho,27,27 de October de 2023,Coliseu dos Recreios,https://www.agendalx.pt/events/event/rui-veloso-5/
teatro,Kali,Joana de Verona,27,27 de October de 2023,Rua das Gaivotas 6,https://www.agendalx.pt/events/event/kali/
música,Outubro no Samambaia,Programa de concertos,13 outubro,28 outubro 2023,Samambaia,https://www.agendalx.pt/events/event/samambaia/
música,Mark Cain + Rui Marinho,,27,27 de October de 2023,Matchamama,https://www.agendalx.pt/events/event/mark-cain-rui-marinho/
cinema,O Filme do Mês,'Lisboa -  Cidade Triste e Alegre',17 outubro,28 outubro 2023,vários locais,https://www.agendalx.pt/events/event/o-filme-do-mes-29/
música,Brisa,Casulo,27 outubro 2023,27 outubro 2023,Espaço Laboratório,https://www.agendalx.pt/events/event/brisa/
música,Salvador Sobral,Timbre,27 outubro 2023,27 outubro 2023,Centro Cultural de Belém,https://www.agendalx.pt/events/event/salvador-sobral-4/
teatro,Valsa n.º 6,Nelson Rodrigues/ Luísa Thiré,20 outubro,27 outubro 2023,Chapitô,https://www.agendalx.pt/events/event/valsa-n-o-6/
stand up comedy,Humor Negro,Chiado Comedy Club,29 setembro,15 dezembro 2023,Teatro Bocage,https://www.agendalx.pt/events/event/humor-negro/
música,XII Festival Cantabile,2023,27 outubro,29 outubro 2023,Palácio Galveias,https://www.agendalx.pt/events/event/festival-cantabile/
teatro,Amor improvisa-se... e a traição também!,,22 setembro,27 outubro 2023,Museu da Farmácia,https://www.agendalx.pt/events/event/amor-improvisa-se-e-a-traicao-tambem/
música,Yago Oproprio,,27 outubro 2023,27 outubro 2023,Musicbox,https://www.agendalx.pt/events/event/yago-oproprio/
teatro,Fiona e Sereia,,22 outubro,10 dezembro 2023,Boutique da Cultura - Um Teatro em Cada Bairro,https://www.agendalx.pt/events/event/fiona-e-sereia/
teatro,O Capuchinho Vermelho,O Musical,14 outubro,12 novembro 2023,Boutique da Cultura - Um Teatro em Cada Bairro,https://www.agendalx.pt/events/event/o-capuchinho-vermelho/
cinema,Filminhos Infantis à Solta Pelo País,em outubro,7 outubro,28 outubro 2023,vários locais,https://www.agendalx.pt/events/event/filminhos-infantis-a-solta-pelo-pais-48/
cinema,Sessões de cinema no Turim,Um Teatro em cada Bairro,7 outubro,30 outubro 2023,Turim - Um Teatro em Cada Bairro,https://www.agendalx.pt/events/event/sessoes-de-cinema-no-turim/
teatro,A Bela Adormecida - O Musical,Filipe La Féria,21,21 de October de 2023,Teatro Politeama,https://www.agendalx.pt/events/event/a-bela-adormecida-6/
teatro,A Língua em Pedaços,Juan Mayorga/ Teatro Livre,28,28 de October de 2023,Museu de Lisboa - Teatro Romano,https://www.agendalx.pt/events/event/a-lingua-em-pedacos-2/
cinema,John Ford – Maior que a lenda,3.ª parte,28,28 de October de 2023,Cinema Nimas,https://www.agendalx.pt/events/event/john-ford-maior-que-a-lenda-3/
artes,With Love From Nature,,28,28 de October de 2023,Criatura - Verride Palácio de Santa Catarina,https://www.agendalx.pt/events/event/with-love-from-nature/
ciências -  cinema,Utopias Possíveis,Clima e sustentabilidade,28 outubro 2023,28 outubro 2023,Goethe-Institut,https://www.agendalx.pt/events/event/utopias-possiveis/
artes,Quiz Halloween,,28 outubro 2023,28 outubro 2023,Museu da Carris,https://www.agendalx.pt/events/event/quiz-halloween-2/
artes,Joias Sentimentais e de Luto,Workshop,28,28 de October de 2023,Museu do Tesouro Real,https://www.agendalx.pt/events/event/joias-sentimentais-e-de-luto/
teatro,O mundo mágico de Jack,TIL/ Fernando Gomes,21 outubro 2023,24 março 2024,Teatro Armando Cortez,https://www.agendalx.pt/events/event/o-mundo-magico-de-jack/
